title,link,author,date,comments,views,diggs
速度提高几百倍，记一次数据结构在实际工作中的运用,https://www.cnblogs.com/dennisj/p/14030280.html,_蒋鹏飞,2020-11-24 14:51,78,25558,123
说说 C# 9 新特性的实际运用,https://www.cnblogs.com/tcjiaan/p/13947928.html,东邪独孤,2020-11-09 18:14,41,17523,81
协程到底是什么？看完这个故事明明白白！,https://www.cnblogs.com/xuanyuan/p/13824621.html,轩辕之风,2020-10-16 09:24,17,6976,43
从技术谈到管理，把系统优化的技术用到企业管理,https://www.cnblogs.com/lane_cn/p/13685179.html,小陆,2020-09-17 14:55,32,12974,58
还不懂Redis？看完这个故事就明白了！,https://www.cnblogs.com/xuanyuan/p/13665170.html,轩辕之风,2020-09-14 10:01,133,40210,545
[漫谈] 软件设计的目标和途径,https://www.cnblogs.com/linianhui/p/objective-and-approach-of-software-design.html,Timetombs,2020-09-02 07:08,35,10087,74
解Bug之路-Nginx 502 Bad Gateway ,https://www.cnblogs.com/alchemystar/p/13409534.html,无毁的湖光-Al,2020-07-31 14:30,49,28798,66
CPU瞒着内存竟干出这种事,https://www.cnblogs.com/xuanyuan/p/12894711.html,轩辕之风,2020-05-15 14:22,41,19765,122
不要把异常当做业务逻辑，这性能可能你无法承受,https://www.cnblogs.com/huangxincheng/p/12866824.html,一线码农,2020-05-11 07:30,76,27648,129
大数据算法——布隆过滤器,https://www.cnblogs.com/techflow/p/12310669.html,Coder梁,2020-02-15 09:22,35,16752,62
为什么 K8s 在阿里能成功？| 问底中国 IT 技术演进,https://www.cnblogs.com/alisystemsoftware/p/12221622.html,阿里云云原生,2020-01-21 14:27,11,17400,24
从零开始入门 K8s | 手把手带你理解 etcd,https://www.cnblogs.com/alisystemsoftware/p/12016601.html,阿里云云原生,2019-12-10 14:47,6,14208,18
如何高效的学习技术,https://www.cnblogs.com/xiaoyangjia/p/11535486.html,编码专家,2019-11-14 17:37,142,47498,458
我是如何失去团队掌控的？,https://www.cnblogs.com/zer0Black/p/11819696.html,锅总的程序人生,2019-11-08 13:45,210,37596,222
阿里terway源码分析,https://www.cnblogs.com/gaorong/p/11710246.html,gaorong404,2019-10-20 21:59,1,6427,8
一文详解微服务架构,https://www.cnblogs.com/skabyy/p/11396571.html,古霜卡比,2019-08-23 08:45,159,65987,618
聊一聊数据库中的锁,https://www.cnblogs.com/CoderAyu/p/11375088.html,码农阿宇,2019-08-19 08:14,85,30303,113
Code Review最佳实践,https://www.cnblogs.com/dotey/p/11216430.html,宝玉,2019-07-20 01:35,40,27891,95
如何以计算机的方式去思考,https://www.cnblogs.com/chaosyang/p/how-to-think-as-computer.html,ChaosYang1987,2019-07-15 16:02,32,23819,118
某618大促项目的复盘总结,https://www.cnblogs.com/wchukai/p/11174189.html,初开,2019-07-12 09:36,25,25826,51
不懂数据库索引的底层原理？那是因为你心里没点b树,https://www.cnblogs.com/sujing/p/11110292.html,苏苏喂苏苏+,2019-07-08 09:45,104,36917,243
我为能准时下班而做的准备，以及由此的收获，同时总结下不足,https://www.cnblogs.com/JavaArchitect/p/11062713.html,hsm_computer,2019-07-04 09:06,68,26231,94
深入认识二进制序列化--记一次生产事故的思考,https://www.cnblogs.com/zhu-wj/p/11117541.html,hkant,2019-07-01 23:33,18,11367,17
一次给女朋友转账引发我对分布式事务的思考,https://www.cnblogs.com/sujing/p/11006424.html,苏苏喂苏苏+,2019-06-24 09:48,116,29093,148
【面试】一篇文章帮你彻底搞清楚“I/O多路复用”和“异步I/O”的前世今生,https://www.cnblogs.com/lixinjie/p/a-post-tell-clearly-about-io-multiplexing-and-async-io.html,编程新说(李新杰),2019-06-16 22:01,45,16305,69
当我们在讨论CQRS时，我们在讨论些神马？,https://www.cnblogs.com/youring2/p/11028419.html,拓荒者FF,2019-06-15 18:14,25,9446,69
【面试】如果你这样回答“什么是线程安全”，面试官都会对你刮目相看,https://www.cnblogs.com/lixinjie/p/a-answer-about-thread-safety-in-a-interview.html,编程新说(李新杰),2019-05-07 09:57,200,41779,419
【面试】迄今为止把同步/异步/阻塞/非阻塞/BIO/NIO/AIO讲的这么清楚的好文章（快快珍藏）,https://www.cnblogs.com/lixinjie/p/a-post-about-io-clearly.html,编程新说(李新杰),2019-05-05 09:31,90,32440,140
为啥程序会有bug？,https://www.cnblogs.com/Zachary-Fan/p/bugwhy.html,Zachary_Fan,2019-03-27 08:47,40,22916,124
关于分布式锁原理的一些学习与思考-redis分布式锁，zookeeper分布式锁,https://www.cnblogs.com/JJJ1990/p/10496850.html,队长给我球。,2019-03-08 16:56,69,18636,101
【软工作业&思考】关于软工的一些概念性理解暨第一次阅读作业,https://www.cnblogs.com/HansBug/p/10473959.html,HansBug,2019-03-04 23:05,6,2225,8
ERP不规范，同事两行泪,https://www.cnblogs.com/chuma/p/10457878.html,初码,2019-03-01 17:48,60,26262,79
只有程序员才能读懂的西游记,https://www.cnblogs.com/popsuper1982/p/10329438.html,popsuper1982,2019-01-28 12:03,102,27922,255
Kubernetes初探[1]：部署你的第一个ASP.NET Core应用到k8s集群,https://www.cnblogs.com/RainingNight/p/first-aspnetcore-app-in-k8s.html,雨夜朦胧,2019-01-08 07:52,25,13838,80
从软件工程的角度解读任正非的新年公开信,https://www.cnblogs.com/dotey/p/10220520.html,宝玉,2019-01-04 16:12,43,23554,116
通俗易懂，C#如何安全、高效地玩转任何种类的内存之Span的本质(一)。,https://www.cnblogs.com/justmine/p/10006621.html,justmine,2018-11-28 08:56,104,20234,133
分布式系统关注点——99%的人都能看懂的「熔断」以及最佳实践,https://www.cnblogs.com/Zachary-Fan/p/circuitbreaker.html,Zachary_Fan,2018-11-19 09:37,31,19885,75
哎呀，我老大写Bug啦——记一次MessageQueue的优化,https://www.cnblogs.com/EminemJK/p/9921800.html,山治先生,2018-11-07 15:05,98,19801,95
机器学习web服务化实战：一次吐血的服务化之路,https://www.cnblogs.com/haolujun/p/9778939.html,haolujun,2018-10-15 10:30,27,13971,28
Windbg分析高内存占用问题,https://www.cnblogs.com/sheng-jie/p/9503650.html,「圣杰」,2018-08-20 08:50,66,23596,143
我是怎么把一个项目带崩的,https://www.cnblogs.com/zer0Black/p/9463206.html,锅总的程序人生,2018-08-13 08:29,185,56206,317
使用Istio治理微服务入门,https://www.cnblogs.com/williamjie/p/9442340.html,割肉机,2018-08-08 13:55,0,42987,5
彼之蜜糖，吾之砒霜——聊聊软件开发中的最佳实践,https://www.cnblogs.com/sherrywasp/p/9436623.html,sherrywasp,2018-08-08 12:03,108,22270,200
Linux的内存分页管理,https://www.cnblogs.com/vamei/p/9329278.html,Vamei,2018-07-19 13:43,28,43806,62
Identity Server 4 - Hybrid Flow - MVC客户端身份验证,https://www.cnblogs.com/yangxu-pro/p/9253667.html,yangxu-pro,2018-07-04 21:22,25,10584,42
通俗易懂，什么是.NET?什么是.NET Framework？什么是.NET Core?,https://www.cnblogs.com/1996V/p/9037603.html,小曾看世界,2018-07-02 10:13,140,115389,791
藏在正则表达式里的陷阱,https://www.cnblogs.com/chanshuyi/p/the_regex_backtracking_trap.html,陈树义,2018-06-19 09:43,76,28708,216
你所不知道的日志异步落库,https://www.cnblogs.com/scy251147/p/9193075.html,程序诗人,2018-06-17 16:04,49,14411,30
为什么说 Java 程序员到了必须掌握 Spring Boot 的时候？,https://www.cnblogs.com/ityouknow/p/9175980.html,纯洁的微笑,2018-06-13 08:33,18,35787,121
从 docker 到 runC,https://www.cnblogs.com/sparkdev/p/9129334.html,sparkdev,2018-06-07 07:59,20,43139,41
从架构特点到功能缺陷，重新认识分析型分布式数据库,https://www.cnblogs.com/ivan-uno/p/9051225.html,海边的Ivan,2018-05-17 15:30,14,12539,29
【原创】分布式之数据库和缓存双写一致性方案解析,https://www.cnblogs.com/rjzheng/p/9041659.html,孤独烟,2018-05-15 17:15,142,90872,260
【原创】分布式之消息队列复习精讲,https://www.cnblogs.com/rjzheng/p/8994962.html,孤独烟,2018-05-06 16:31,112,40165,323
.net环境下跨进程、高频率读写数据,https://www.cnblogs.com/lanxiaoke/p/8971301.html,ljr忒修斯之船,2018-04-29 18:04,71,19566,83
微服务化的基石——持续集成,https://www.cnblogs.com/163yun/p/8867738.html,网易数帆,2018-04-17 16:50,34,18268,129
在 .NET Core 中使用 DiagnosticSource 记录跟踪信息,https://www.cnblogs.com/savorboard/p/diagnostics.html,Savorboard,2018-04-16 09:08,21,18712,92
阿里云ECS的CPU100%排查,https://www.cnblogs.com/hodge01/p/8658538.html,一夕如环,2018-03-27 17:07,40,16736,42
深入学习Redis（1）：Redis内存模型,https://www.cnblogs.com/kismetv/p/8654978.html,编程迷思,2018-03-27 08:53,104,100740,296
十倍效能提升——Web 基础研发体系的建立,https://www.cnblogs.com/sskyy/p/8613393.html,侯振宇,2018-03-20 23:07,36,22144,88
Golang的CSP很酷？其实.NET也可以轻松完成,https://www.cnblogs.com/ants/p/8601947.html,KAnts,2018-03-19 14:43,34,14471,77
不是技术也能看懂云计算，大数据，人工智能,https://www.cnblogs.com/popsuper1982/p/8505203.html,popsuper1982,2018-03-04 17:43,60,47580,257
记一次内存溢出的分析经历——thrift带给我的痛orz,https://www.cnblogs.com/superfj/p/8474288.html,Janti,2018-03-01 21:55,23,13082,69
机器学习漫游(1) 基本设定,https://www.cnblogs.com/supersayajin/p/8453070.html,supersayajin,2018-02-28 17:23,3,5136,18
高可用Redis服务架构分析与搭建,https://www.cnblogs.com/xuning/p/8464625.html,Horstxu,2018-02-24 11:08,28,23086,74
Android组件化框架设计与实践,https://www.cnblogs.com/cr330326/p/8419899.html,cryAllen,2018-02-05 23:40,8,11592,14
科普：String hashCode 方法为什么选择数字31作为乘子,https://www.cnblogs.com/nullllun/p/8350178.html,田小波⊰,2018-01-25 10:49,49,13128,174
漫话JavaScript与异步·第三话——Generator：化异步为同步,https://www.cnblogs.com/leegent/p/8207246.html,大唐西域都护,2018-01-10 00:53,15,9138,34
超高性能管线式HTTP请求（实践·原理·实现）,https://www.cnblogs.com/lulianqi/p/8167526.html,lulianqi15,2018-01-01 18:09,30,26936,85
深度工作：充分使用每一份脑力,https://www.cnblogs.com/buptzym/p/8059121.html,FerventDesert,2017-12-18 19:05,121,25249,282
DDD峰会归来话DDD,https://www.cnblogs.com/wayfarer/p/2017-ddd-submit-china.html,张逸,2017-12-17 21:51,29,14369,40
分布式、服务化的ERP系统架构设计,https://www.cnblogs.com/liuche/p/7955462.html,月光冷锋,2017-12-02 20:23,98,27446,112
浅谈重构中踩过的坑,https://www.cnblogs.com/chanshuyi/p/some_experienc_in_system_refactor.html,陈树义,2017-11-15 10:13,50,20794,128
设计稿自动生成可用页面的展望,https://www.cnblogs.com/sskyy/p/7813943.html,侯振宇,2017-11-10 14:09,5,14247,9
.NET Core跨平台的奥秘[下篇]：全新的布局,https://www.cnblogs.com/artech/p/how-to-cross-platform-03.html,Artech,2017-11-10 08:07,82,35980,147
什么是内存(二)：虚拟内存,https://www.cnblogs.com/yaoxiaowen/p/7805964.html,eleven_yw,2017-11-09 22:00,34,29572,91
.NET Core跨平台的奥秘[中篇]：复用之殇,https://www.cnblogs.com/artech/p/how-to-cross-platform-02.html,Artech,2017-11-08 07:35,33,23308,96
.NET Core跨平台的奥秘[上篇]：历史的枷锁,https://www.cnblogs.com/artech/p/how-to-cross-platform-01.html,Artech,2017-11-06 08:19,42,34283,134
剖析Linux系统调用的执行路径,https://www.cnblogs.com/ronny/p/7789057.html,☆Ronny丶,2017-11-05 22:07,6,7545,21
初探性能优化——2个月到4小时的性能提升,https://www.cnblogs.com/flashsun/p/7744466.html,闪客sun,2017-10-27 21:51,59,16715,64
一个程序员送给大学生弟弟的那些话,https://www.cnblogs.com/1wen/p/7736092.html,子慕大诗人,2017-10-26 21:32,82,27660,166
从银行转账失败到分布式事务：总结与思考,https://www.cnblogs.com/xybaby/p/7465816.html,xybaby,2017-10-22 09:37,28,41633,114
MMORPG战斗系统随笔（三）、AI系统简介,https://www.cnblogs.com/zblade/p/7638575.html,zblade,2017-10-10 15:58,7,14121,13
前端系列——jquery.i18n.properties前端国际化解决方案“填坑日记”,https://www.cnblogs.com/landeanfen/p/7581609.html,懒得安分,2017-09-25 10:12,31,71208,57
如何写代码 —— 编程内功心法,https://www.cnblogs.com/bughui/p/7422304.html,Bug辉,2017-08-24 12:07,69,30839,164
【javascript】函数中的this的四种绑定形式 — 大家准备好瓜子，我要讲故事啦~~,https://www.cnblogs.com/penghuwan/p/7356210.html,外婆的,2017-08-14 09:53,93,22781,298
如何编写轻量级 CSS 框架,https://www.cnblogs.com/nzbin/p/7073601.html,叙帝利,2017-08-06 19:10,22,20317,47
比较优雅地编码,https://www.cnblogs.com/zzy0471/p/coderule.html,会长,2017-07-25 20:28,53,16539,71
小时到分钟 - 一步步优化巨量关键词的匹配,https://www.cnblogs.com/zhenbianshu/p/7197349.html,枕边书,2017-07-17 20:29,62,20338,102
在Visual Studio 2017中使用Asp.Net Core构建Angular4应用程序,https://www.cnblogs.com/smallprogram/p/7127225.html,SmallProgram,2017-07-07 16:19,30,18956,54
也谈TDD，以及三层架构、设计模式、ORM……：没有免费的午餐,https://www.cnblogs.com/freeflying/p/7080244.html,自由飞,2017-07-06 00:13,46,19068,98
性能优化知多少,https://www.cnblogs.com/sheng-jie/p/7109385.html,「圣杰」,2017-07-03 08:15,43,20238,114
微服务架构：基于微服务和Docker容器技术的PaaS云平台架构设计（微服务架构实施原理）,https://www.cnblogs.com/fangfuhai/p/7065847.html,风中程序猿,2017-06-22 16:45,25,43136,30
[认证 & 授权] 4. OIDC（OpenId Connect）身份认证（核心部分）,https://www.cnblogs.com/linianhui/p/openid-connect-core.html,Timetombs,2017-05-30 09:18,55,95093,76
理工男打造帝都89平智能家庭,https://www.cnblogs.com/buptzym/p/6882426.html,FerventDesert,2017-05-20 16:26,148,34897,181
MySQL · 引擎特性 · InnoDB Buffer Pool,https://www.cnblogs.com/coderyuhui/p/6861194.html,水中的泪,2017-05-16 14:25,10,16470,16
如何实现在Windows上运行Linux程序，附示例代码,https://www.cnblogs.com/zkweb/p/6856879.html,q303248153,2017-05-15 16:16,33,23357,55
从性能角度看react组件拆分的重要性,https://www.cnblogs.com/wonyun/p/6804952.html,wonyun,2017-05-04 21:24,8,9502,12
变身超人程序员,https://www.cnblogs.com/aspwebchh/p/6731657.html,陈宏鸿,2017-04-19 09:21,152,20537,126
在微服务中使用领域事件,https://www.cnblogs.com/davenkin/p/microservices-and-domain-events.html,无知者云,2017-04-18 22:19,29,19565,54
为了快一点为什么却要慢一点,https://www.cnblogs.com/kid551/p/6599484.html,kid551,2017-03-22 13:53,17,11262,31
没有功能需求设计文档？对不起，拒绝开发！,https://www.cnblogs.com/charliechu/p/6553988.html,charliethinker,2017-03-15 14:20,137,41094,188
打破牢笼，展望更高层次的世界,https://www.cnblogs.com/xdesigner/p/break-self.html,袁永福 电子病历，医疗信息化,2017-03-15 10:11,42,14698,78
从SHAttered事件谈安全,https://www.cnblogs.com/alisecurity/p/6472813.html,阿里安全,2017-02-27 11:12,9,4792,24
一个由进程内存布局异常引起的问题,https://www.cnblogs.com/catch/p/6370859.html,twoon,2017-02-06 16:30,18,8916,31
一次生产事故的优化经历,https://www.cnblogs.com/ityouknow/p/6369051.html,纯洁的微笑,2017-02-06 08:50,90,22998,139
奶爸程序员的“育儿”心得,https://www.cnblogs.com/yasire/p/6366379.html,往边界,2017-02-04 21:23,81,19617,113
我的编程经历与我所热爱的游戏服务端开发,https://www.cnblogs.com/liumt/p/6362727.html,千年风雅丶,2017-02-03 15:19,206,21536,126
从零到百亿互联网金融架构发展史,https://www.cnblogs.com/ityouknow/p/6276686.html,纯洁的微笑,2017-01-12 07:36,110,37564,235
app开发：模拟服务器数据接口 - MockApi,https://www.cnblogs.com/everhad/p/6219795.html,everhad,2016-12-25 16:23,8,16192,14
记录服务上线一年来的点点滴滴,https://www.cnblogs.com/myd620/p/6209061.html,myd620,2016-12-21 20:53,36,10768,42
架构随聊,https://www.cnblogs.com/Zachary-Fan/p/ArchitectureChat.html,Zachary_Fan,2016-12-19 07:00,16,17104,43
谈谈敏捷开发,https://www.cnblogs.com/5207/p/6179009.html,5207,2016-12-14 13:50,50,17687,79
最近帮客户实施的基于SQL Server AlwaysOn跨机房切换项目,https://www.cnblogs.com/lyhabc/p/6131034.html,桦仔,2016-12-04 19:57,82,13423,89
单点登录原理与简单实现,https://www.cnblogs.com/ywlaker/p/6113927.html,ywlaker,2016-11-29 15:53,290,572127,389
即时通信服务器架构的一些思考,https://www.cnblogs.com/myd620/p/6081100.html,myd620,2016-11-19 17:51,50,18199,27
自定义基于 VLC 的视频播放器,https://www.cnblogs.com/zhhh/p/6066843.html,小浩叔叔,2016-11-15 18:40,37,18885,40
使用浏览器的计算力，对抗密码破解,https://www.cnblogs.com/index-html/p/frontend_kdf.html,EtherDream,2016-11-09 10:28,40,16378,51
Vue.js 和 MVVM 的小细节,https://www.cnblogs.com/onepixel/p/6034307.html,一像素,2016-11-06 22:42,45,49171,60
ASP.NET Core 之 Identity 入门（一）,https://www.cnblogs.com/savorboard/p/aspnetcore-identity.html,Savorboard,2016-11-04 13:53,116,66946,429
随谈10年的技术生涯和技术成长,https://www.cnblogs.com/cyq1162/p/5951359.html,路过秋天,2016-10-12 14:37,146,28561,220
C# 在腾讯的发展,https://www.cnblogs.com/shanyou/p/5915056.html,张善友,2016-09-28 08:37,169,42246,223
可信前端之路-代码保护,https://www.cnblogs.com/alisecurity/p/5852923.html,阿里安全,2016-09-08 14:25,23,12044,31
那些年搞不懂的术语、概念：协变、逆变、不变体,https://www.cnblogs.com/zhaopei/p/variability.html,农码一生,2016-08-29 08:55,37,19820,123
webp图片实践之路,https://www.cnblogs.com/season-huang/p/5804884.html,哎呦大黄,2016-08-24 22:31,14,25898,17
.NET Core中的认证管理解析,https://www.cnblogs.com/durow/p/5783089.html,durow,2016-08-18 10:39,7,11907,15
先说IEnumerable，我们每天用的foreach你真的懂它吗？,https://www.cnblogs.com/zhaopei/p/5769782.html,农码一生,2016-08-15 08:56,60,28662,202
你必须知道的EF知识和经验,https://www.cnblogs.com/zhaopei/p/5721789.html,农码一生,2016-08-01 08:46,159,78263,644
数据库优化案例——————某市中心医院HIS系统,https://www.cnblogs.com/double-K/p/5712334.html,Double_K,2016-07-28 20:02,82,28802,104
.Net中的AOP系列之构建一个汽车租赁应用,https://www.cnblogs.com/farb/p/AOPBuildACarRentApp.html,tkbSimplest,2016-07-27 08:17,48,18221,248
很认真的聊一聊程序员的自我修养,https://www.cnblogs.com/chuma/p/5698984.html,初码,2016-07-23 16:32,223,65061,474
来看看机智的前端童鞋怎么防盗,https://www.cnblogs.com/vajoy/p/5656439.html,vajoy,2016-07-10 12:19,82,18056,129
我们是怎么做Code Review的,https://www.cnblogs.com/wenhx/p/How-We-Code-Review.html,wenhx,2016-07-08 08:26,42,89997,97
[PHP内核探索]PHP中的哈希表,https://www.cnblogs.com/hoohack/p/5643141.html,hoohack,2016-07-05 11:55,3,5003,13
基础知识漫谈(6-2) 作为面试官的一点心得,https://www.cnblogs.com/anrainie/p/5640208.html,荒土,2016-07-04 13:40,39,23111,60
【腾讯bugly干货分享】HTML 5 视频直播一站式扫盲,https://www.cnblogs.com/bugly/p/5640069.html,腾讯bugly,2016-07-04 12:20,30,13440,70
谈谈如何使用Netty开发实现高性能的RPC服务器,https://www.cnblogs.com/jietang/p/5615681.html,Newland,2016-06-25 10:34,78,66890,45
前后端分离开发模式下后端质量的保证 —— 单元测试,https://www.cnblogs.com/jesse2013/p/magic-of-unittesting.html,腾飞（Jesse),2016-06-14 08:56,24,24661,65
验证码对抗之路及现有验证机制介绍,https://www.cnblogs.com/alisecurity/p/5581049.html,阿里安全,2016-06-13 16:15,23,16570,47
javascript的api设计原则,https://www.cnblogs.com/constantince/p/5580003.html,chen·yan,2016-06-13 11:22,26,12896,60
浅谈我对DDD领域驱动设计的理解,https://www.cnblogs.com/netfocus/p/5548025.html,netfocus,2016-06-07 01:43,53,74519,167
分布式锁1  Java常用技术方案,https://www.cnblogs.com/PurpleDream/p/5559352.html,Sky_YiBai,2016-06-05 00:39,40,52611,63
我眼中的技术地图,https://www.cnblogs.com/Fredric-2013/p/5543057.html,Fredric_2013,2016-05-30 16:51,29,21077,65
【CSS进阶】伪元素的妙用--单标签之美,https://www.cnblogs.com/coco1s/p/5528393.html,ChokCoco,2016-05-25 20:48,56,25173,141
那些年搞不懂的高深术语——依赖倒置•控制反转•依赖注入•面向接口编程,https://www.cnblogs.com/aoyeyuyan/p/5495219.html,熬夜与烟,2016-05-22 20:40,110,35121,184
【前端性能】高性能滚动 scroll 及页面渲染优化,https://www.cnblogs.com/coco1s/p/5499469.html,ChokCoco,2016-05-17 20:50,51,108105,142
如何优雅的使用RabbitMQ,https://www.cnblogs.com/richieyang/p/5492432.html,richiezhang,2016-05-16 06:50,42,28113,107
游戏编程十年总结（下）,https://www.cnblogs.com/ybgame/p/5481400.html,深圳-宝爷,2016-05-11 13:05,130,30906,169
游戏编程十年总结（上）,https://www.cnblogs.com/ybgame/p/5475990.html,深圳-宝爷,2016-05-10 09:32,65,62187,106
简单粗暴地理解js原型链--js面向对象编程,https://www.cnblogs.com/qieguo/p/5451626.html,茄果,2016-05-03 13:40,78,28199,185
setTimeout 的黑魔法,https://www.cnblogs.com/fly-snow/p/5427865.html,李三思,2016-04-24 21:36,34,17168,95
路漫漫其修远兮，吾将上下而求索——小酌重构系列[0]开篇有益,https://www.cnblogs.com/keepfool/p/5423729.html,keepfool,2016-04-23 08:10,23,9197,60
JAVA回调机制(CallBack)详解,https://www.cnblogs.com/heshuchao/p/5376298.html,Bro__超,2016-04-10 22:25,57,123454,135
我眼中的领域驱动设计,https://www.cnblogs.com/richieyang/p/5373250.html,richiezhang,2016-04-10 01:59,59,13239,45
异步并行批处理框架设计的一些思考,https://www.cnblogs.com/jietang/p/5353220.html,Newland,2016-04-04 23:01,13,17003,13
TDD在Unity3D游戏项目开发中的实践,https://www.cnblogs.com/murongxiaopifu/p/5342509.html,慕容小匹夫,2016-04-04 09:59,12,7576,15
或许是领域建模的真相,https://www.cnblogs.com/wayfarer/p/5339134.html,张逸,2016-03-30 22:05,46,10167,35
“四核”驱动的“三维”导航 -- 淘宝新UI（需求分析篇）,https://www.cnblogs.com/ms-uap/p/5306123.html,UniversalAIPlatform,2016-03-28 11:43,31,12151,56
Microservice Anti-patterns,https://www.cnblogs.com/loveis715/p/5315860.html,loveis715,2016-03-24 21:08,3,4351,7
Cassandra简介,https://www.cnblogs.com/loveis715/p/5299495.html,loveis715,2016-03-21 00:43,15,92259,35
【深入浅出jQuery】源码浅析--整体架构,https://www.cnblogs.com/coco1s/p/5261646.html,ChokCoco,2016-03-14 21:11,81,91476,190
面试感悟----一名3年工作经验的程序员应该具备的技能,https://www.cnblogs.com/xrq730/p/5260294.html,五月的仓颉,2016-03-10 22:37,436,215561,699
Java 征途：行者的地图,https://www.cnblogs.com/mindwind/p/5251430.html,mindwind,2016-03-07 20:41,51,16994,93
【趣事】用 JavaScript 对抗 DDOS 攻击,https://www.cnblogs.com/index-html/p/js-network-firewall.html,EtherDream,2016-03-06 19:35,14,11956,37
首个threejs项目-前端填坑指南,https://www.cnblogs.com/pursues/p/5226807.html,At丶Sea,2016-02-29 11:08,40,93648,37
ASP.NET路由模型解析,https://www.cnblogs.com/kexxxfeng/p/5222727.html,蝌蝌,2016-02-27 12:50,22,8971,59
DDD CQRS架构和传统架构的优缺点比较,https://www.cnblogs.com/netfocus/p/5184182.html,netfocus,2016-02-06 21:25,21,32545,50
